Gene,P.Value,Log FC
HMGN2,8.25e-01,-3.52e-02
KRT33A,6.33e-01,-3.06e-02
DUOXA1,9.32e-01,-9.35e-03
GRID2,9.18e-01,-7.96e-03
OBSCN,8.32e-01,2.13e-02
SDR39U1,6.48e-01,4.72e-02
NOM1,6.26e-01,-5.14e-02
TTK,6.71e-01,-3.15e-02
KIF27,6.16e-01,-8.39e-02
CARD9,9.67e-01,-2.62e-03
ATRN,5.83e-01,-7.31e-02
LOC339894,6.00e-01,6.00e-02
OR6C75,6.56e-01,-4.07e-02
VSIG1,5.59e-01,-3.87e-02
TTC31,5.64e-01,5.63e-02
LOC100128160,5.70e-01,-3.84e-02
ARSD,5.70e-01,3.67e-02
MATN3,7.17e-01,4.67e-02
SNORA71C,6.80e-01,-7.77e-02
ACCSL,5.54e-01,-3.83e-02
ZNF649,5.99e-01,-1.15e-01
THOC2,6.73e-01,5.72e-02
FLJ39095,5.80e-01,-3.76e-02
DBF4B,5.66e-01,-4.34e-02
ZNF683,5.65e-01,7.92e-02
LOC100289178,6.75e-01,-2.58e-02
AIF1L,5.59e-01,3.28e-02
WNT9A,5.87e-01,4.84e-02
OR2G6,6.96e-01,-3.04e-02
PAPOLB,9.96e-01,7.41e-04
AGBL4,5.67e-01,4.32e-02
ORC3,6.16e-01,-5.95e-02
FLJ44087,9.36e-01,1.13e-02
C2orf63,7.28e-01,3.80e-02
OR7G3,6.78e-01,-2.55e-02
GDNF,5.85e-01,-2.99e-02
THOC6,5.64e-01,4.90e-02
USP6,9.96e-01,1.13e-03
TSSK3,9.99e-01,-1.07e-04
TBXA2R,9.47e-01,6.49e-03
METAP2,6.00e-01,-7.83e-02
FBXO4,9.48e-01,6.06e-03
C12orf69,5.81e-01,-3.57e-02
MYH6,5.60e-01,6.64e-02
HTR3D,7.05e-01,2.23e-02
C9orf50,6.98e-01,4.55e-02
LOC727916,9.33e-01,-6.44e-03
MC4R,5.76e-01,-5.93e-02
GTF2H1,6.97e-01,7.36e-02
PSMD4,6.44e-01,4.19e-02
B3GNT3,8.23e-01,-2.51e-02
TTC24,9.13e-01,9.22e-03
SH3BGRL2,6.54e-01,7.60e-02
REXO1L1,5.85e-01,-5.22e-02
KDM4D,7.38e-01,-4.10e-02
GTF3C3,8.16e-01,2.68e-02
CLDN25,6.85e-01,-2.98e-02
LOC100505564,5.82e-01,-4.42e-02
DNMT3B,6.09e-01,-7.22e-02
LOC100506514,5.89e-01,6.26e-02
MINPP1,5.62e-01,3.38e-02
DLEU2L,6.21e-01,4.53e-02
DNAAF2,8.74e-01,-2.43e-02
LOC100131581,7.26e-01,-2.68e-02
KRTAP10-6,6.45e-01,-3.21e-02
LOC100129322,7.05e-01,-3.02e-02
USP25,5.82e-01,5.62e-02
TMC8,5.67e-01,4.21e-02
C2orf53,7.51e-01,-3.28e-02
F2R,5.61e-01,-5.62e-02
SELT,8.31e-01,-3.86e-02
PHC2,7.15e-01,-8.54e-02
LPAR2,7.03e-01,-3.62e-02
ERVW-1,9.33e-01,5.11e-03
PDE4DIP,8.69e-01,-1.22e-02
TIRAP,6.87e-01,2.89e-02
KRTCAP3,5.72e-01,-4.23e-02
C1orf182,5.80e-01,4.88e-02
LINC00293,9.23e-01,6.97e-03
ISX,6.42e-01,-4.76e-02
SH3TC1,6.13e-01,1.24e-01
LINC00313,5.93e-01,-7.19e-02
NTM,9.89e-01,-1.54e-03
AAAS,6.64e-01,4.28e-02
PLA2G4E,5.83e-01,4.08e-02
CIB3,8.67e-01,-1.13e-02
LMLN,6.12e-01,3.87e-02
RFC3,6.93e-01,3.79e-02
RMND5B,6.20e-01,5.65e-02
ARSH,5.81e-01,-3.28e-02
FAM96B,7.93e-01,3.13e-02
COX2,9.12e-01,-3.54e-02
FOPNL,8.73e-01,1.97e-02
SUN3,5.76e-01,-6.49e-02
IGF2-AS,5.80e-01,4.96e-02
WNK2,7.86e-01,-3.30e-02
BTBD8,8.83e-01,-2.88e-02
OR8U1,9.49e-01,-6.21e-03
SUFU,5.77e-01,-3.47e-02
LINC00311,5.63e-01,4.79e-02
LOC100506351,5.81e-01,-2.90e-02
ZNF449,7.86e-01,-3.30e-02
DNPEP,9.56e-01,5.45e-03
FLJ44511,8.59e-01,-2.50e-02
SNORA23,7.85e-01,3.28e-02
OR5T2,5.63e-01,-3.90e-02
OTOL1,6.20e-01,-4.40e-02
OR5D16,5.63e-01,-4.76e-02
ZNF100,5.90e-01,-8.23e-02
IARS,5.90e-01,5.32e-02
APH1A,5.70e-01,-6.41e-02
WDR27,8.71e-01,1.78e-02
OR14C36,6.72e-01,-4.11e-02
HMG20A,9.80e-01,-3.02e-03
LOC100129894,5.75e-01,-3.92e-02
FAM205B,9.48e-01,-6.45e-03
C5orf34,6.27e-01,-4.56e-02
PIKFYVE,7.37e-01,4.93e-02
LOC340515,8.35e-01,-2.72e-02
ROBO1,7.67e-01,3.76e-02
RDX,7.89e-01,-6.32e-02
SLC26A3,6.65e-01,-2.72e-02
DMRTA1,5.61e-01,3.90e-02
C9orf116,7.74e-01,-4.48e-02
LOC283214,6.70e-01,2.99e-02
C4orf44,8.58e-01,1.19e-02
GJA9,5.94e-01,-3.64e-02
RNF10,9.30e-01,1.16e-02
MUSTN1,9.54e-01,-1.38e-02
CHIA,5.69e-01,-5.00e-02
LINC00355,9.88e-01,-2.22e-03
SLC2A1,6.17e-01,-3.26e-02
MYL10,6.00e-01,-4.72e-02
AHI1,7.20e-01,2.86e-02
MIR22HG,5.89e-01,6.06e-02
SPANXN5,6.33e-01,-4.09e-02
PSMB1,6.95e-01,5.07e-02
C12orf12,7.87e-01,1.94e-02
AKAP4,6.09e-01,-3.06e-02
POP4,6.08e-01,6.99e-02
SPC24,7.05e-01,2.71e-02
MPHOSPH9,9.58e-01,-5.75e-03
TPO,6.91e-01,-4.14e-02
HSPA8,8.86e-01,3.83e-02
LOC100127885,7.36e-01,7.42e-02
TMEM154,7.04e-01,2.55e-02
MAST4,7.38e-01,-5.08e-02
LOC100131894,6.38e-01,-3.19e-02
ORMDL1,5.67e-01,-5.73e-02
C6orf132,5.82e-01,-3.94e-02
KRTAP15-1,7.25e-01,-2.33e-02
PACRGL,5.66e-01,-4.27e-02
C9orf41,5.78e-01,-4.23e-02
AGFG1,7.77e-01,-3.80e-02
CYLC2,7.05e-01,-4.19e-02
EMX1,5.76e-01,-6.54e-02
REN,5.80e-01,-3.05e-02
PIK3R1,6.08e-01,-8.64e-02
C14orf182,7.11e-01,3.00e-02
CEACAM5,5.91e-01,-4.98e-02
LOC645769,8.41e-01,-1.63e-02
SERPINB13,7.10e-01,-2.44e-02
PATE1,5.87e-01,-5.28e-02
FBXL8,9.06e-01,-1.24e-02
FBXL21,9.84e-01,-1.71e-03
FAM47A,6.05e-01,5.67e-02
E2F6,7.96e-01,2.20e-02
SKA1,9.84e-01,1.27e-03
DLEU7,7.40e-01,-2.94e-02
THRSP,7.55e-01,-4.00e-02
C5orf49,6.05e-01,3.46e-02
SHB,5.82e-01,-9.23e-02
LOC100130476,7.71e-01,-2.39e-02
OPN5,9.33e-01,1.12e-02
DUX4,5.90e-01,-6.28e-02
TCAM1P,7.45e-01,-3.59e-02
ZNF673,6.44e-01,5.35e-02
KRTAP13-1,5.70e-01,-3.63e-02
CPA5,7.39e-01,2.82e-02
TMEM192,8.45e-01,1.65e-02
DOCK1,6.50e-01,8.49e-02
NAA35,9.59e-01,8.70e-03
PHF15,5.84e-01,-5.83e-02
KIAA1586,8.78e-01,1.06e-02
ZFP64,5.74e-01,-4.45e-02
UBQLN4,7.91e-01,-4.74e-02
FAM171A2,8.43e-01,-2.69e-02
CDHR5,8.73e-01,-1.17e-02
SGOL1,6.17e-01,-4.24e-02
SMUG1,5.85e-01,-8.22e-02
LOC100506241,6.69e-01,-2.94e-02
KIF4A,5.87e-01,-3.66e-02
FOXO3,5.94e-01,8.65e-02
LOC550643,9.73e-01,-3.71e-03
FAM120C,6.60e-01,7.10e-02
OR6F1,6.46e-01,-3.40e-02
RAD1,6.01e-01,-5.55e-02
AXDND1,7.77e-01,-2.50e-02
KIAA1370,7.75e-01,7.05e-02
C9orf68,7.03e-01,3.78e-02
ANKRD62P1-PARP4P3,6.39e-01,-3.20e-02
HTATSF1,8.46e-01,-2.63e-02
RXFP3,5.82e-01,3.41e-02
FAM122B,7.55e-01,-2.45e-02
TTLL9,7.52e-01,-3.84e-02
PRPF4B,6.15e-01,1.24e-01
PLD4,9.89e-01,-2.63e-03
LINC00309,6.41e-01,-3.65e-02
LRRC48,9.13e-01,-1.54e-02
SSX8,6.93e-01,-3.06e-02
LOC100133123,8.28e-01,2.02e-02
FAM160A1,6.87e-01,-2.81e-02
IFITM5,5.93e-01,-4.92e-02
SLC25A28,6.03e-01,-6.24e-02
TIGIT,7.11e-01,3.21e-02
CEACAM19,6.51e-01,-7.18e-02
DUOX2,5.94e-01,-3.85e-02
KRTAP19-5,5.76e-01,4.14e-02
EXD3,7.35e-01,-3.44e-02
GRIA2,6.41e-01,9.84e-02
HIST1H3H,5.76e-01,-5.66e-02
PDE4DIP,8.72e-01,1.38e-02
SH3D21,9.27e-01,-9.05e-03
C9orf146,5.88e-01,3.79e-02
MAN2B2,7.83e-01,-3.27e-02
FBXO22,8.52e-01,1.39e-02
FLJ23865,5.98e-01,-3.48e-02
PLCH1,6.15e-01,5.48e-02
LRRC1,6.49e-01,4.44e-02
H3F3B,8.21e-01,-4.07e-02
P4HA3,5.95e-01,3.61e-02
OR5M8,5.73e-01,-3.13e-02
C17orf57,6.19e-01,2.89e-02
SNAPIN,6.19e-01,5.12e-02
CLEC4F,5.81e-01,-3.38e-02
GPR82,7.13e-01,3.33e-02
SEC14L3,7.32e-01,-2.94e-02
VN1R3,5.81e-01,3.54e-02
ZNF100,5.77e-01,-5.89e-02
ABLIM2,5.90e-01,6.14e-02
POF1B,8.47e-01,1.38e-02
SRFBP1,9.15e-01,1.25e-02
LRRC31,6.60e-01,2.74e-02
GBP1P1,8.56e-01,1.65e-02
GRXCR1,5.78e-01,-3.86e-02
FLJ45139,6.66e-01,-2.91e-02
ARL4A,8.36e-01,1.65e-02
ICA1L,5.89e-01,-3.97e-02
PSG1,7.67e-01,2.43e-02
FAM55A,6.12e-01,-9.94e-02
CCR4,6.97e-01,-2.98e-02
CILP2,7.08e-01,-2.26e-02
USP43,6.14e-01,6.44e-02
DKFZp451A211,7.16e-01,-5.45e-02
SHROOM3,6.02e-01,7.48e-02
CCZ1,8.02e-01,-2.90e-02
AGER,9.14e-01,-8.98e-03
EYS,5.78e-01,-5.94e-02
MICU1,5.78e-01,-4.08e-02
RSPO2,6.76e-01,-1.28e-01
LOC729444,8.37e-01,-2.52e-02
ZNF512,8.22e-01,2.60e-02
MRPL49,7.42e-01,4.40e-02
C9orf123,6.16e-01,-7.39e-02
BNC1,7.36e-01,2.28e-02
C6orf211,6.50e-01,4.09e-02
FLJ31813,6.69e-01,3.06e-02
ZNF646,5.73e-01,4.48e-02
OR51A4,5.83e-01,-3.77e-02
IL4,5.79e-01,-3.80e-02
KIR2DL4,7.46e-01,-2.88e-02
C12orf49,8.38e-01,1.94e-02
FLJ35424,7.10e-01,4.18e-02
CHRNA5,5.78e-01,5.39e-02
ACVR2A,7.88e-01,2.83e-02
CXXC5,8.79e-01,2.36e-02
LOC100131581,8.29e-01,-1.57e-02
KCNA6,5.80e-01,4.29e-02
LOC100131822,6.50e-01,-4.72e-02
C3orf58,8.78e-01,2.90e-02
ZNF202,6.56e-01,3.57e-02
BCLAF1,5.88e-01,6.42e-02
LOC100130741,8.23e-01,1.86e-02
LINC00472,5.85e-01,4.09e-02
LOC648570,8.37e-01,1.73e-02
C1orf185,9.10e-01,9.50e-03
ZXDA,6.75e-01,-3.62e-02
TBX20,5.80e-01,-3.50e-02
ZNF780B,8.98e-01,1.78e-02
NDUFA2,6.05e-01,7.43e-02
IL18RAP,7.34e-01,3.63e-02
KRT35,6.77e-01,3.81e-02
LOC145783,8.44e-01,-2.08e-02
LOC100289178,6.83e-01,3.04e-02
HSF1,6.56e-01,3.65e-02
WNT4,5.72e-01,-4.04e-02
GRAP2,9.11e-01,9.81e-03
ZNF804A,7.10e-01,-3.88e-02
LSMD1,6.66e-01,-7.04e-02
GPR35,6.54e-01,-4.24e-02
ANGPTL5,6.30e-01,3.30e-02
C1orf185,7.47e-01,-2.74e-02
LOC727775,6.60e-01,-3.00e-02
LOC389634,8.14e-01,2.96e-02
OR52N2,5.99e-01,-6.46e-02
REXO1L1,6.00e-01,-4.21e-02
FAM161B,9.84e-01,1.72e-03
FUNDC2P2,8.44e-01,-2.92e-02
SCARNA4,5.91e-01,-5.87e-02
FASTKD5,6.00e-01,-7.51e-02
RFPL3,5.96e-01,-5.34e-02
GALNT12,5.87e-01,6.22e-02
RBM44,6.92e-01,2.83e-02
LOC728437,5.78e-01,3.84e-02
ZNF404,9.06e-01,-2.98e-02
EXOC8,6.65e-01,-6.90e-02
INS-IGF2,7.15e-01,-4.18e-02
NUP107,9.72e-01,6.35e-03
SNRPC,5.88e-01,-7.88e-02
MYC,7.23e-01,2.40e-02
KATNB1,6.96e-01,3.85e-02
ARHGEF33,9.84e-01,1.69e-03
CAPZA2,7.39e-01,2.60e-02
TMC2,6.64e-01,-2.71e-02
MUC4,7.24e-01,3.66e-02
FLJ31662,6.67e-01,7.41e-02
ERCC6L,6.92e-01,-2.55e-02
CDKL4,6.05e-01,-3.17e-02
TLE4,7.89e-01,-4.30e-02
SH3BP1,5.95e-01,-3.31e-02
SCARNA12,9.40e-01,-5.59e-03
NEK8,9.26e-01,-5.96e-03
NEUROD4,6.19e-01,-3.99e-02
PSORS1C2,8.14e-01,1.58e-02
LRRC2,8.63e-01,-1.81e-02
SLC6A2,7.40e-01,-2.51e-02
SLC23A3,7.17e-01,2.96e-02
C14orf135,5.81e-01,-4.17e-02
ESCO2,6.55e-01,-3.24e-02
TCP10,6.42e-01,-3.61e-02
LOC284788,8.88e-01,1.17e-02
RIMBP2,9.07e-01,-1.59e-02
MATN3,7.27e-01,-3.62e-02
LINC00111,6.86e-01,-2.96e-02
KLHL31,5.79e-01,5.21e-02
XRRA1,6.81e-01,1.13e-01
REG1A,5.88e-01,-3.35e-02
SKI,8.08e-01,4.33e-02
DIP2C,9.46e-01,-1.13e-02
HDDC2,9.75e-01,-5.99e-03
ZNF467,6.07e-01,-8.78e-02
WRB,9.58e-01,-1.08e-02
DDR1,9.25e-01,1.89e-02
UOX,7.02e-01,3.36e-02
WDR74,9.18e-01,-6.10e-03
OR5AS1,6.31e-01,-3.72e-02
LOC401324,7.78e-01,-2.54e-02
C1orf35,9.55e-01,-9.64e-03
ARAP1,9.76e-01,-4.76e-03
ANKDD1A,6.33e-01,5.76e-02
ABHD11-AS1,6.33e-01,-9.53e-02
ZNF487P,5.96e-01,4.61e-02
GPR55,7.95e-01,-2.66e-02
OR7E19P,6.53e-01,-2.81e-02
ZNF878,9.84e-01,-1.77e-03
TDRD10,9.42e-01,-5.69e-03
AK3,7.50e-01,5.18e-02
GALNT4,5.85e-01,6.59e-02
TARM1,7.71e-01,1.85e-02
ADAMTS1,9.29e-01,2.33e-02
COL6A5,5.84e-01,3.90e-02
LOC100128653,7.62e-01,2.06e-02
ITLN2,6.01e-01,-6.66e-02
SORBS1,9.34e-01,1.08e-02
ARMC8,9.22e-01,-1.08e-02
NOA1,9.04e-01,1.13e-02
DGAT2L7,5.79e-01,-4.02e-02
LOC285441,5.80e-01,3.07e-02
XRCC6,7.91e-01,2.90e-02
ZNF263,6.07e-01,-5.75e-02
OR5P2,5.89e-01,-4.06e-02
C6orf164,6.32e-01,2.78e-02
ZNF644,7.32e-01,5.53e-02
CCDC73,7.50e-01,3.66e-02
TACR3,5.76e-01,-3.35e-02
UBN2,7.49e-01,4.84e-02
BCAT1,5.88e-01,4.35e-02
TAS2R41,9.83e-01,2.27e-03
MUC3A,7.88e-01,1.69e-02
MAGED2,6.21e-01,-6.97e-02
EXOSC7,8.70e-01,-2.39e-02
RARS2,9.85e-01,-2.09e-03
C1orf138,6.75e-01,2.83e-02
CSMD2,7.95e-01,-1.86e-02
RAD51D,7.79e-01,-2.78e-02
LOC100129316,9.84e-01,-1.47e-03
KRT82,5.82e-01,-3.15e-02
SNHG6,6.37e-01,6.36e-02
ADAM18,7.39e-01,-2.44e-02
SYNGAP1,8.42e-01,-3.87e-02
LINC00319,7.21e-01,-2.50e-02
LRRIQ3,5.81e-01,-3.42e-02
KDM2B,9.88e-01,1.70e-03
H2AFB3,7.82e-01,1.85e-02
SYNPO2L,5.80e-01,4.44e-02
AKNA,8.39e-01,-1.60e-02
GFRA3,7.66e-01,2.15e-02
LOC100131232,6.18e-01,-3.55e-02
LOC100128496,8.56e-01,1.31e-02
MSTN,6.13e-01,4.16e-02
BEND4,7.92e-01,-1.73e-02
GATSL3,9.84e-01,3.55e-03
STAU1,6.29e-01,4.65e-02
PDE7A,9.86e-01,-2.42e-03
HLA-DRB6,5.92e-01,-4.85e-02
C3orf49,6.36e-01,-3.31e-02
C16orf73,9.46e-01,9.17e-03
EIF3A,6.69e-01,4.08e-02
PHC2,6.46e-01,8.80e-02
POLN,5.90e-01,-4.79e-02
RBCK1,8.90e-01,-1.89e-02
DCUN1D2,5.96e-01,-5.44e-02
VSIG2,6.31e-01,2.77e-02
VPS37B,9.60e-01,-6.15e-03
OR6N1,9.34e-01,-6.51e-03
CBLL1,7.74e-01,3.91e-02
PTPRQ,6.06e-01,3.54e-02
ARHGEF4,6.57e-01,3.31e-02
AGTRAP,7.51e-01,-5.37e-02
MKI67,6.49e-01,-2.78e-02
CYP4Z2P,5.81e-01,-3.14e-02
FAM48B1,6.68e-01,6.08e-02
VCX2,9.92e-01,-2.09e-03
MPP4,6.06e-01,3.06e-02
ESR1,8.97e-01,9.89e-03
LOC727915,7.18e-01,-2.49e-02
BTG3,6.79e-01,9.67e-02
HIST2H2BA,6.40e-01,-2.69e-02
C4orf39,7.02e-01,5.42e-02
ASB4,6.16e-01,4.71e-02
KC6,8.34e-01,-1.61e-02
KRT4,6.19e-01,-3.68e-02
PHTF2,6.18e-01,-6.53e-02
LOC728290,9.28e-01,6.36e-03
TINAG,5.85e-01,3.48e-02
MEF2C,7.60e-01,1.26e-01
YTHDF2,8.67e-01,1.63e-02
OPN3,6.15e-01,9.31e-02
ADAMTS17,6.69e-01,-3.41e-02
WDR66,6.60e-01,-8.58e-02
KRT34,5.87e-01,-2.81e-02
CEP192,6.42e-01,-1.14e-01
PTCD2,6.10e-01,-6.45e-02
ODAM,8.58e-01,-3.75e-02
ZFP36L1,6.02e-01,4.99e-02
LOC92659,6.38e-01,1.01e-01
LOC100129502,5.98e-01,-4.81e-02
CHMP4B,6.83e-01,9.02e-02
LOC100131581,5.93e-01,5.09e-02
MYO16,6.56e-01,3.91e-02
LOC100130057,7.91e-01,-4.33e-02
CFLAR,8.22e-01,3.46e-02
SPDYE1,6.09e-01,4.56e-02
RNF38,6.71e-01,3.59e-02
C11orf1,8.01e-01,2.02e-02
C9orf43,9.98e-01,-3.39e-04
MGC11082,7.59e-01,2.20e-02
AWAT1,8.27e-01,-1.43e-02
FBXL6,7.59e-01,-2.85e-02
SECISBP2,6.05e-01,5.37e-02
LOC100128751,6.06e-01,-2.85e-02
GLRA3,9.37e-01,8.90e-03
NUDT6,7.44e-01,-3.63e-02
OR2L2,6.70e-01,5.03e-02
ANKRD42,9.98e-01,3.25e-04
TRIM67,6.14e-01,5.43e-02
HIST1H2APS1,5.85e-01,3.69e-02
SNAP29,9.60e-01,4.57e-03
OR1A2,6.08e-01,-6.78e-02
INSL5,6.12e-01,-4.06e-02
PCDHGA5,6.59e-01,5.51e-02
FOXP3,8.42e-01,-1.90e-02
LOC100506272,7.73e-01,-1.79e-02
LOC440173,6.59e-01,-4.13e-02
NTF4,7.66e-01,-3.12e-02
SLC18A1,6.02e-01,-4.39e-02
BRMS1,6.10e-01,-5.89e-02
NLRC4,5.98e-01,3.45e-02
SASS6,6.09e-01,4.88e-02
UBXN10,7.59e-01,2.33e-02
CPLX2,5.95e-01,4.67e-02
DUOXA2,7.69e-01,-1.98e-02
CARD9,7.51e-01,6.63e-02
NAALADL2,8.23e-01,-2.70e-02
LOC100128857,9.56e-01,4.26e-03
SUGP2,7.94e-01,-3.26e-02
C1orf177,6.49e-01,3.94e-02
SLC16A10,6.41e-01,-1.20e-01
RPS21,6.57e-01,-7.84e-02
LOC100129110,6.70e-01,2.95e-02
SLC10A3,8.22e-01,2.05e-02
ZNF23,6.00e-01,5.29e-02
SCGB1D4,7.32e-01,2.39e-02
PASD1,5.95e-01,-5.37e-02
CTC1,9.18e-01,1.23e-02
LOC100129596,8.91e-01,1.49e-02
INTS1,5.96e-01,3.67e-02
WNT5B,9.95e-01,8.96e-04
CORO1B,6.03e-01,6.11e-02
LOC286087,7.24e-01,-3.07e-02
FLJ37798,6.60e-01,-8.44e-02
PDPR,6.19e-01,-8.54e-02
CT47A11,6.41e-01,-2.94e-02
TRPM5,6.01e-01,6.63e-02
FLT4,7.70e-01,-4.24e-02
FLJ42709,6.83e-01,6.36e-02
C12orf66,6.66e-01,-4.06e-02
LOC729444,5.99e-01,-6.46e-02
LOC100131608,5.91e-01,3.92e-02
CLEC7A,5.98e-01,-3.60e-02
PPM1F,8.50e-01,2.47e-02
C2orf51,7.89e-01,-2.04e-02
C7orf54,5.91e-01,-4.27e-02
CPA2,8.76e-01,1.45e-02
SLC25A36,6.31e-01,-6.31e-02
LOC202181,6.28e-01,-5.78e-02
FAM90A7,9.14e-01,-7.80e-03
KCNJ13,8.47e-01,3.81e-02
C8orf73,6.36e-01,-6.51e-02
CHIT1,6.41e-01,2.79e-02
DHX15,6.51e-01,6.44e-02
DLK1,6.56e-01,4.65e-02
MAST2,6.49e-01,-3.35e-02
NKX1-2,6.67e-01,-5.37e-02
ERBB4,7.16e-01,-3.00e-02
LOC440704,6.78e-01,2.57e-02
CENPP,9.86e-01,-2.29e-03
TTTY14,8.41e-01,-4.32e-02
C9orf147,5.92e-01,-4.08e-02
ATG9B,6.42e-01,2.93e-02
MGEA5,9.23e-01,1.99e-02
MAD2L2,6.23e-01,2.95e-02
PPIH,6.55e-01,3.10e-02
ALDH3A1,5.97e-01,-5.10e-02
RNF31,9.99e-01,1.52e-04
SEC14L3,9.23e-01,-1.07e-02
LOC644083,6.20e-01,4.00e-02
RAD21L1,7.97e-01,-2.14e-02
LOC442421,7.11e-01,-4.09e-02
KIRREL3-AS3,8.01e-01,-1.91e-02
LMF2,6.74e-01,-7.57e-02
LOC642335,8.53e-01,1.49e-02
LMX1B,6.10e-01,5.13e-02
OR3A4P,6.21e-01,-3.45e-02
OR4D11,6.49e-01,3.42e-02
ANKRD63,7.81e-01,-2.16e-02
TESK2,9.04e-01,2.06e-02
PRLR,5.96e-01,-2.76e-02
LINC00293,7.94e-01,-1.98e-02
TRIM6,6.12e-01,3.54e-02
HKDC1,9.14e-01,1.85e-02
C14orf165,9.00e-01,-1.08e-02
GRM6,9.98e-01,1.53e-04
PCDHA4,7.00e-01,-6.93e-02
LOC340094,6.21e-01,-3.05e-02
LINC00281,6.15e-01,3.13e-02
LOC100129393,6.94e-01,-2.67e-02
DLX4,6.38e-01,4.98e-02
ANO1,7.13e-01,2.31e-02
COMMD4,8.79e-01,2.69e-02
LINC00467,7.03e-01,6.74e-02
PRAMEF15,6.68e-01,3.78e-02
ZBTB12,5.94e-01,-3.21e-02
ZNF518A,9.67e-01,5.79e-03
SFTPB,6.73e-01,-4.56e-02
SMAD7,9.60e-01,-9.28e-03
PHLDA1,6.00e-01,-3.56e-02
BARX1,5.99e-01,4.44e-02
CCDC111,5.98e-01,5.21e-02
TRIM27,9.64e-01,4.32e-03
CHST14,7.96e-01,-2.29e-02
LOC91948,6.13e-01,-3.26e-02
SERPINB12,6.03e-01,4.71e-02
C8orf80,6.20e-01,-5.28e-02
SPOPL,6.51e-01,-6.21e-02
ANKS1A,6.29e-01,-3.22e-02
GRIK4,6.19e-01,-3.78e-02
ST7L,5.96e-01,-4.95e-02
DBX1,6.11e-01,-4.44e-02
MTHFR,7.39e-01,-2.92e-02
MGAT4C,7.64e-01,8.37e-02
PTPRE,7.89e-01,2.67e-02
TCF20,7.07e-01,-7.47e-02
NDUFB7,9.53e-01,9.68e-03
SLAMF1,9.56e-01,5.23e-03
GOT1L1,9.01e-01,-1.05e-02
LOC100216001,7.65e-01,-1.89e-02
SKOR2,8.14e-01,-1.99e-02
NOX4,7.08e-01,2.26e-02
USP7,6.14e-01,5.85e-02
LOC146880,8.69e-01,-1.40e-02
AP1S3,7.54e-01,-2.46e-02
DUSP13,6.03e-01,-3.27e-02
SPEM1,6.11e-01,-2.90e-02
PRIM2,6.41e-01,3.42e-02
GCNT7,9.33e-01,-7.29e-03
OR11H4,6.83e-01,-4.26e-02
TMEM110,6.61e-01,-5.43e-02
GYLTL1B,9.96e-01,4.40e-04
DDR1,8.34e-01,-3.85e-02
SLAMF6,6.01e-01,3.93e-02
CPO,7.91e-01,-2.17e-02
GARNL3,6.43e-01,-3.82e-02
ETFDH,8.59e-01,-3.00e-02
RNLS,7.81e-01,2.53e-02
RNF170,6.54e-01,-3.19e-02
DRGX,8.81e-01,1.64e-02
UBE3B,8.61e-01,1.49e-02
FAM53B,6.93e-01,-3.30e-02
NLE1,6.17e-01,-3.91e-02
FUT4,6.76e-01,6.34e-02
MYLK,6.74e-01,1.30e-01
ZNF697,6.57e-01,-4.83e-02
HIATL1,7.28e-01,6.17e-02
SCAND2,6.79e-01,-3.13e-02
LOC647979,7.67e-01,-4.54e-02
RRBP1,7.78e-01,6.45e-02
GJA3,6.20e-01,-4.76e-02
SLC34A3,9.65e-01,3.37e-03
TPK1,7.75e-01,2.31e-02
ZMYM3,6.23e-01,-5.98e-02
MED18,7.55e-01,3.30e-02
ZNF599,6.00e-01,-3.45e-02
CREB3L4,7.48e-01,-1.02e-01
ISPD,6.81e-01,-3.16e-02
RASA4,6.75e-01,8.04e-02
NUP155,9.04e-01,-9.86e-03
TGFA,9.51e-01,5.84e-03
ANAPC1,9.99e-01,-1.25e-04
SCARF1,6.26e-01,5.13e-02
SDK2,6.58e-01,-4.17e-02
NFKB2,8.04e-01,1.98e-02
CNOT3,6.10e-01,6.06e-02
HIF3A,6.88e-01,-9.53e-02
TNNI1,9.32e-01,-6.76e-03
KRTAP10-11,6.23e-01,-3.68e-02
LOC100129603,9.77e-01,2.37e-03
SCFD1,8.86e-01,-1.88e-02
HLX,7.56e-01,4.96e-02
PRKAB1,8.38e-01,-2.63e-02
RSPH6A,7.35e-01,-2.43e-02
DPH5,8.00e-01,-3.49e-02
FLJ12825,6.11e-01,3.58e-02
OR7A10,8.39e-01,1.89e-02
LOC100128386,6.13e-01,3.92e-02
TEX15,7.39e-01,2.05e-02
OR51B4,6.49e-01,-2.53e-02
GPBAR1,7.42e-01,-5.13e-02
GP5,6.22e-01,4.12e-02
CORIN,7.49e-01,2.33e-02
ZNF3,7.43e-01,2.39e-02
JMY,8.41e-01,-2.48e-02
FLJ31356,6.85e-01,-5.35e-02
C6orf132,6.18e-01,-2.75e-02
NHLRC4,8.51e-01,1.54e-02
NHLH1,9.82e-01,-2.48e-03
ESPNL,6.17e-01,3.40e-02
LOC100128979,6.15e-01,-3.41e-02
ELOVL2,7.13e-01,1.14e-01
MAGEA6,6.30e-01,7.36e-02
ATP5SL,6.45e-01,4.00e-02
KBTBD4,6.15e-01,-5.16e-02
LMBRD2,8.51e-01,2.40e-02
SLC4A1,6.89e-01,3.53e-02
RNASE9,7.70e-01,1.78e-02
ZCCHC6,7.94e-01,4.03e-02
STX4,7.28e-01,-4.89e-02
